Type	Task Name Original	Task Name	Status Migração	Data	obs
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT	To be migrated		CALCULATION VIEW - ELA É RESPONSÁVEL POR ALIMENTAR ALGUMAS VIEWS
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_2)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_2	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_A01)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_A01	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_A02)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_A02	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_AGO)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_AGO	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_DEV)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_DEV	To be migrated		ela precisa da view U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_A)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_A	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_A2)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_A2	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_A3)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_A3	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_ARG)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_EPP_ARG	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SELA)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SELA	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP01112023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP01112023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP19052023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP19052023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP20230707)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP20230707	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP21062023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP21062023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP27042023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP27042023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_USA)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_USA	To be migrated		
